Class ID	Class Name
1400C000	CHdrElement
14009000	CHdrComment
1400A000	CHdrDeclaration
1400B000	CHdrDocument
14008000	CXmlUnknown
14005000	CXmlDocument
14006000	CXmlElement
14007000	CXmlText
14004000	CXmlDeclaration
14001000	CXmlNod
14002000	CXmlAttribute
14003000	CXmlComment
04001000	GxLight
04003000	GxLightPoint
04002000	GxLightBall
0400A000	GxLightFrustrum
0400B000	GxLightSpot
04006000	GxLightNotAmbient
01029000	CMwStatsValue
0501C000	CFuncTree
0501B000	CFuncVisual
05011000	CFuncShader
05014000	CFuncShaders
05015000	CFuncShaderLayerUV
05018000	CFuncLight
0500B000	CFuncPlug
05010000	CFunc
