Class ID	Class Name
0105B000	CMwCmdSwitch
0105A000	CMwCmdExpEnumParam
01059000	CMwCmdExpEnum
01057000	CMwCmdExpClassIdent
01058000	CMwCmdExpClassParam
01053000	CMwCmdExpNumBin
01054000	CMwCmdExpBoolBin
01055000	CMwCmdExpNumFunction
01050000	CMwCmdExpStringParam
0104F000	CMwCmdExpStringIdent
0104E000	CMwCmdExpString
0104C000	CMwCmdExpSup
0104D000	CMwCmdExpSupEgal
0104B000	CMwCmdExpSub
01048000	CMwCmdExpNumParam
01049000	CMwCmdExpOr
0104A000	CMwCmdExpPower
01047000	CMwCmdExpNumIdent
01046000	CMwCmdExpNum
01045000	CMwCmdExpNot
01043000	CMwCmdExpMult
01044000	CMwCmdExpNeg
01042000	CMwCmdExpInfEgal
01041000	CMwCmdExpInf
01040000	CMwCmdExpEgal
0103E000	CMwCmdExpDiff
0103F000	CMwCmdExpDiv
0103D000	CMwCmdExpBoolParam
0103C000	CMwCmdExpBoolIdent
0103B000	CMwCmdExpBool
01039000	CMwCmdExpAdd
0103A000	CMwCmdExpAnd
01037000	CMwCmdWhile
01034000	CMwCmdCall
01035000	CMwCmdFor
01036000	CMwCmdIf
01033000	CMwCmdAffectParam
01032000	CMwCmdAffectIdent
01026000	CMwRefBuffer
01022000	CMwClassInfoViewer
0101B000	CMwExample
01006000	CMwParam
00105100	CMwCmdExpStringConcat
01038000	CMwCmdExp
