Class ID	Class Name
090C8000	CPlugSkelSetup
0904B000	CPlugVisualQuads2D
0900A000	CPlugVisualOctree
0903E000	CPlugBlendShapes
09057000	CPlugIndexBuffer
09053000	CPlugGpuCompileCache
0904A000	CPlugVisual2D
09035000	CPlugFileFidContainer
09084000	CPlugFileZip
0B005000	CSystemConfig
0B013000	CSystemConfigDisplay
0B000000	CSystemEngine
0B009000	CSystemFids
0B008000	CSystemFid
0B00A000	CSystemFidFile
0B015000	CSystemPackDesc
0B014000	CSystemPackManager
0B018000	CSystemData
0B00B000	CSystemFidsFolder
0B01A000	CSystemFidContainer
0B007000	CNodSystem
0B001000	CSystemMouse
0B002000	CSystemKeyboard
0B003000	CSystemWindow
0B00C000	CSystemFidsDrive
0B017000	CSystemNodWrapper
0B00E000	CSystemFidMemory
0B006000	CSystemMemoryMonitor
0501A000	CFuncKeysReal
0500B000	CFuncPlug
05011000	CFuncShader
05014000	CFuncShaders
05015000	CFuncShaderLayerUV
0501C000	CFuncTree
0501B000	CFuncVisual
05002000	CFuncKeys
05010000	CFunc
04001000	GxLight
04002000	GxLightBall
0400B000	GxLightSpot
04003000	GxLightPoint
0400A000	GxLightFrustum
04006000	GxLightNotAmbient
0905F000	CPlugFileBink
