Class ID	Class Name
1204D000	CNetMasterServerTask_GetDisplayNameFromManiaplanetLogin
1204E000	CNetMasterServerTask_GetDisplayNameFromWebIdentity
12067000	CNetMasterServerTask_GetWaitingParams
12097000	CNetMasterServerTask_SetFeatureTimeUse
12069000	CNetMasterServerTask_Subscribe
1206A000	CNetMasterServerTask_OpenSession
1206B000	CNetMasterServerTask_Connect
12095000	CWebServicesTaskResult_Natural
12051000	CWebServicesTaskResult_String
12066000	CWebServicesTaskResult_ApplicationConfig
12098000	CWebServicesTaskResult_PlayerFeatureLimitList
1207A000	CNetMasterServerTask_ShowProfile
1209B000	CNetMasterServerTask_GamerPic_GetUrl
12082000	CNetMasterServerTask_Session_Get
12083000	CNetMasterServerTask_Session_JoinOrCreate
12084000	CNetMasterServerTask_Session_Leave
12087000	CNetMasterServerTask_Session_InviteBuddy
12091000	CNetMasterServerTask_Session_ShowInviteUI
12039000	CNetMasterServerUserInfo
12059000	CNetUbiServicesTask_CheckNewNotification
12058000	CNetUbiServicesTask_SendNotification
12099000	CNetUbiServicesNews
1203C000	CWebServicesTaskSequence
12040000	CNetUbiServicesTask
120A0000	CNetUbiServicesTask_PostCreateSession
1204F000	CNetMasterServerRequestTask
090BE000	CPlugResource
09002000	CPlugShader
0904F000	CPlugTree
0903F000	CPlugTreeGenText
09011000	CPlugBitmap
09026000	CPlugShaderApply
09006000	CPlugVisual
0904D000	CPlugFont
0901A000	CPlugSound
0904B000	CPlugVisualQuads2D
09014000	CPlugVisualLines2D
0902B000	CPlug
09079000	CPlugMaterial
09004000	CPlugShaderGeneric
09005000	CPlugSolid
0906A000	CPlugVisualIndexed
09009000	CPlugVisualIndexedLines
09013000	CPlugVisualLines
09028000	CPlugVisualTriangles
0902F000	CPlugFileGen
090B3000	CPlugParticleEmitterModel
0901E000	CPlugVisualIndexedTriangles
09057000	CPlugIndexBuffer
0907E000	CPlugBitmapSampler
09065000	CPlugSoundVideo
09030000	CPlugFileSnd
09060000	CPlugFileVideo
090A8000	CPlugBitmapAtlas
09015000	CPlugTreeVisualMip
09074000	CPlugFileVHlsl
09087000	CPlugBitmapRenderWater
09056000	CPlugVertexStream
090BB000	CPlugSolid2Model
090AC000	CPlugSpriteParam
09010000	CPlugVisualSprite
09025000	CPlugFileImg
09075000	CPlugFileGPUV
0901D000	CPlugLight
0900A000	CPlugVisualOctree
09027000	CPlugVisualQuads
090AA000	CPlugSphericalHarmonics
09040000	CPlugFileGPU
09022000	CPlugFileJpg
09090000	CPlugBitmapRenderSolid
0900B000	CPlugBitmapRenderShadow
090AB000	CPlugBitmapArray
0903A000	CPlugMaterialCustom
09024000	CPlugFileDds
09066000	CPlugPointsInSphereOpt
09035000	CPlugFileFidContainer
09084000	CPlugFileZip
09086000	CPlugBitmapRender
09076000	CPlugFileGPUP
090F5000	CPlugFxHdrScales_Tech3
090C6000	CPlugParticleGpuModel
090C5000	CPlugParticleGpuSpawn
09062000	CPlugTreeLight
090DB000	CPlugFileWebP
09047000	CPlugBitmapAddress
09041000	CPlugFileText
09077000	CPlugFilePHlsl
09067000	CPlugShaderPass
0900E000	CPlugModelShading
09068000	CPlugShaderSprite
0900C000	CPlugSurface
09051000	CPlugTreeGenerator
09088000	CPlugBitmapRenderCubeMap
09080000	CPlugBitmapShader
09078000	CPlugBitmapDecals
09020000	CPlugFile
090BA000	CPlugSkel
09012000	CPlugBitmapApply
0902A000	CPlugVisualIndexedStrip
09001000	CPlugAudio
0904A000	CPlugVisual2D
0907D000	CPlugMaterialFxs
0902C000	CPlugVisual3D
090C0000	CPlugFileGenScriptCtx
090B2000	CPlugParticleEmitterSubModel
0903E000	CPlugBlendShapes
09023000	CPlugFileTga
09053000	CPlugGpuCompileCache
09036000	CPlugBitmapPacker
09091000	CPlugBitmapRenderSub
09019000	CPlugFilePack
0905A000	CPlugFileOggVorbis
090A7000	CPlugDecalModel
090C8000	CPlugSkelSetup
0907A000	CPlugMaterialFx
090B5000	CPlugParticleSplashModel
09044000	CPlugBitmapPack
09046000	CPlugBitmapPackElem
09048000	CPlugBitmapPackInput
0906C000	CPlugFileSvg
0A002000	CScene2d
0A005000	CSceneObject
0A011000	CSceneMobil
0A012000	CSceneToy
0A017000	CScenePickerManager
0A003000	CScene3d
0A009000	CScenePoc
0A00A000	CSceneCamera
0A04A000	CSceneMgrParticle
0A001000	CScene
0A004000	CSceneSector
0A00B000	CSceneLight
0A00E000	CSceneSoundSource
0A014000	CSceneObjectLink
0A086000	CSceneFxMgr
0A042000	CSceneMood
0A040000	CSceneConfig
0A09F000	CSceneMgrPhy
0A073000	CScenePhy
0A01E000	CSceneSoundManager
0A007000	CSceneLocation
0A00D000	CSceneListener
0A037000	CSceneMgrVehicleVis
0A02A000	CSceneMgrVehicleVisImpl
0A085000	CSceneMover
0A05F000	CSceneMgrSolidVis
0A10F000	CSceneMobilSolid
0A099000	CSceneMgrSolid2Vis
0A098000	CSceneMobilSolid2
0A064000	CSceneDecalsManager
0A047000	CSceneMgrCharVis
0A033000	CSceneMgrFlock
0A032000	CSceneMgrFlockPrivate
0A048000	CSceneMgrAnim
0A088000	CSceneMgrBulletVis
0A089000	CSceneMgrTrafficVis
0A093000	CSceneMgrBody
0A08B000	CSceneMgrWeather
0A08E000	CSceneMgrMapColoring
0A079000	CSceneFxCameraBlend
0A008000	CSceneMgrCamera
0A03A000	CSceneFxNod
0A07F000	CSceneFxBloomHdr
